用例编号,模块,子模块,用例标题,前置条件,操作步骤,预期结果,优先级,用例设计方法,状态
ZW-EMS-M02-0140,学员管理,新增,提交按钮-保存中loading状态,1.提交后,1.查看按钮,1.按钮变disabled显示【保存中...】避免重复提交,P2,体验,已通过
ZW-EMS-M02-0141,学员管理,新增,保存成功toast提示2s后自动消失,1.保存成功,1.看提示,1.2秒左右消失不阻塞操作,P2,体验,已通过
ZW-EMS-M02-0142,学员管理,新增,保存失败显示具体错误+不跳页+保留已填内容,1.提交失败,1.页面,1.仍然停留在新增页 已有值还在 具体错误定位到字段,P1,体验,已通过
ZW-EMS-M02-0143,学员管理,档案,附件上传大小限制10M,1.12M文件,1.上传,1.提示："附件不能超过10MB",P1,边界值,已通过
ZW-EMS-M02-0144,学员管理,档案,附件数量最多10个,1.已上传10个,1.再上传第11个,1.提示最多10个,P1,边界值,已通过
ZW-EMS-M02-0145,学员管理,档案,头像上传jpg/png/webp支持,1.,1.尝试上传.gif与.svg,1.gif被拒绝 .svg被拒绝或转码,P0,安全,已通过
ZW-EMS-M02-0146,学员管理,档案,头像上传大于2M压缩,1.5M图片,1.上传,1.自动压缩到200K以内 肉眼可接受,P2,体验,已通过
ZW-EMS-M02-0147,学员管理,导入,导入时学员编码冲突自动跳过或重编,1.模板填了已存在编码,1.选择策略,1.按策略执行 日志提示,P1,判定表,已通过
ZW-EMS-M02-0148,学员管理,导入,导入数据格式：日期列多种格式自动识别,1.2015-06-01 / 2015/06/01 / 2015年6月1日,1.导入,1.三种都被正确识别为同日期,P1,兼容性,已通过
ZW-EMS-M02-0149,学员管理,导出,导出Excel冻结首行首列,1.打开导出Excel,1.滚动,1.首行（表头）和首列（编码）冻结,P2,易用性,已通过
ZW-EMS-M02-0150,学员管理,导出,导出金额字段为数值可求和,1.打开Excel,1.选中余额列求和,1.可正常求和 非文本格式,P1,数据类型,已通过
ZW-EMS-M02-0151,学员管理,导入,空文件上传,1.空行的0条Excel,1.导入,1.提示："模板内容为空，请检查",P2,异常,已通过
ZW-EMS-M02-0152,学员管理,导入,xlsx内容正确但扩展名为xls,1.,1.上传,1.识别内容类型 而不是只看扩展名,P1,兼容性,已通过
ZW-EMS-M02-0153,学员管理,导入,含图片的Excel导入,1.嵌入图片的xlsx,1.导入,1.图片被忽略或提示 不报错中断,P2,异常,已通过
ZW-EMS-M02-0154,学员管理,详情,分享学员详情-生成带token临时链接,1.,1.点击分享,1.生成24小时有效链接 未登录可只读查看,P2,协作,已通过
ZW-EMS-M02-0155,学员管理,详情,分享链接过期后失效,1.链接>24小时,1.打开,1.提示：该分享链接已过期,P2,安全,已通过
ZW-EMS-M02-0156,学员管理,档案,消息通知-学员生日前7天提醒销售,1.学员7天后生日,1.每天定时任务跑完,1.销售收到提醒 待办出现,P2,定时,已通过
ZW-EMS-M02-0157,学员管理,档案,消息推送-学员余额不足10课时提醒,1.学员剩余=8课时,1.消耗完一节课后,1.销售和家长收到余额不足提醒,P2,策略,已通过
ZW-EMS-M02-0158,学员管理,列表,批量设置学员状态,1.选中20条意向学员,1.批量更改为试听,1.全部状态更新成功 操作日志有记录,P1,场景法,已通过
ZW-EMS-M02-0159,学员管理,列表,批量操作事务回滚-第15条失败,1.构造14条成功+第15条有约束,1.批量更改,1.全部回滚 0条被修改 或者14成功+1失败记录明细（两种策略选其一需文档化）,P0,事务,已通过
ZW-EMS-M02-0160,学员管理,列表,导出异步任务-10万条邮件下载链接,1.导出10万条,1.点击导出,1.后台异步执行 完成后系统消息+邮件附下载链接,P2,性能,已通过
ZW-EMS-M02-0161,学员管理,列表,导出历史查看与重新下载,1.已导出过3次,1.查看导出历史,1.可重新下载最近7天的文件 无需重跑,P2,体验,已通过
ZW-EMS-M02-0162,学员管理,档案,学员转介绍关联-学员A推荐学员B可查,1.学员B录入时推荐人=A,1.查看A详情,1.A的推荐学员列表有学员B 可跟踪推荐奖励,P1,扩展,已通过
ZW-EMS-M02-0163,学员管理,档案,推荐奖励自动结算,1.学员B缴费成功 规则是返现200,1.缴费成功后,1.学员A的账户自动增加200推荐奖励 可查,P1,业务规则,已通过
ZW-EMS-M02-0164,学员管理,新增,来源明细可多级,1.来源=线上投放 子渠道=抖音 计划=暑期活动,1.保存,1.三级来源字段存储完整 报表可三级分组,P1,数据模型,已通过
ZW-EMS-M02-0165,学员管理,新增,表单验证码-机器人提交拦截,1.模拟脚本高频提交,1.第6次起,1.出现图形或滑块验证码 机器人被拦住,P0,安全,已通过
ZW-EMS-M02-0166,学员管理,新增,IP限流-同IP 1分钟30次,1.同IP快速提交,1.第31次,1.返回429 Too Many Requests,P0,安全-限流,已通过
ZW-EMS-M02-0167,学员管理,列表,审计日志-导出操作全记录,1.做一次导出,1.审计管理员查看日志,1.记录谁 什么时候 导出多少条 什么筛选条件 IP地址,P0,合规,已通过
ZW-EMS-M02-0168,学员管理,列表,操作日志-敏感操作二次确认,1.批量删除50条,1.点确认,1.弹出密码或短信验证码二次确认,P0,安全,已失败-已修复
