缺陷ID,项目,模块,子模块,缺陷标题,缺陷等级,缺陷类型,环境,前置条件,复现步骤,实际结果,期望结果,是否必现,发现人,指派给,发现日期,状态,关闭日期,回归结果,备注,所属用例
BUG-EMS-0050,EMS-V2.0,性能,稳定性,24h稳定性测试 第18小时 出现OOM：OutOfMemoryError Metaspace（反射生成类过多）,严重,性能,PERF Soak测试,350并发×24h,1.持续监控Grafana 2.第18小时 Node2 节点 无响应 3.查hs_err.log,1.java.lang.OutOfMemoryError: Metaspace 384M满 2.Arthas sc -d 发现 12万动态代理类没卸载,1.7x24小时稳定 Metaspace OOM 0,是,苏绍彰,架构组,2025-08-05,已关闭,2025-08-06,通过,-XX:MaxMetaspaceSize=512m + 升级Spring +关闭CGLIB动态代理 用JDK动态代理,稳定性报告
BUG-EMS-0051,EMS-V2.0,报名缴费,优惠,优惠券过期日期 6月30日23:59:59 当天0点就已经不能用了 日期判断用了<当天,一般,边界,SIT,券过期日=6月30日 当天6月30日白天10点使用,1.订单 2.选择券,1.券列表不显示该券,1.过期日=6月30日 意思是 6月30日23:59:59 前都有效,是,苏绍彰,后端,2025-07-02,已关闭,2025-07-03,通过,日期判断 LocalDate.now().isAfter(expireDate.plusDays(1).atStartOfDay()),ZW-EMS-M04-0004
BUG-EMS-0052,EMS-V2.0,权限登录,密码,修改密码 允许和旧5次历史密码相同 违反等保2.0要求,一般,合规等保,SIT,管理员账号,1.改密码 123456aB! 2.再改回 Admin@123#（第一次密码）,1.成功通过,1.不允许和最近5次密码相同（等保要求）,是,苏绍彰,后端-安全,2025-07-04,待验证,2025-07-08,通过,存历史5次BCrypt哈希 修改时逐一比对,修改密码
BUG-EMS-0053,EMS-V2.0,通用,接口,任意接口 请求不带Accept 部分接口返回 application/octet-stream 下载乱码,轻微,协议,SIT Postman,Accept不设置 请求报表接口,1.请求,1.响应头Content-Type=octet-stream 浏览器提示下载,1.默认响应 Content-Type=application/json;charset=UTF-8,是,苏绍彰,后端,2025-07-11,已关闭,2025-07-11,通过,WebMvcConfigurer 配置默认 contentType,通用-响应规范
BUG-EMS-0054,EMS-V2.0,学员管理,打印,学员档案 打印 浏览器 打印预览 分页时 一张表被截断 两行字 在两页纸 分开了,轻微,打印,SIT Chrome打印 A4纸,学员档案 内容较多 4页,1.打印→另存PDF 2.看第2页末尾,1.表格第3行字 被分页截成两半 上半页第2页 下半第3页,1.用page-break-inside:avoid 控制元素不分页,是,苏绍彰,前端,2025-07-12,已关闭,2025-07-15,通过,CSS 打印样式 @media print 设置相关样式,ZW-EMS-M02-0080
BUG-EMS-0055,EMS-V2.0,教师H5,作业,教师发布的作业附件 非本班学员 构造URL 也能下载 附件没有签名防盗链,严重,安全-资源,SIT,COS 附件,教师A发布附件 直链 http://cos.xxx/a.pdf 不过期,1.学员B（别的班级）拿到URL 浏览器直接访问,1.可以直接下载 PDF 没有权限校验,1.所有附件使用 COS 预签名 URL 过期时间=1小时,是,苏绍彰,COS运维,2025-07-14,已关闭,2025-07-17,通过,统一用 COS generatePresignedUrl 有效期3600s,上传下载
BUG-EMS-0056,EMS-V2.0,通用,审计,审计日志没有记录 失败的操作（比如删除失败） 违规删除尝试无法追溯,一般,合规,SIT,尝试删除有订单学员 会失败,1.删除学员3001（有订单） 失败 2.查审计日志,1.无任何日志记录 2.尝试多次失败 都没记录,1.不论成功失败 敏感操作都要记录失败原因 操作者IP等,是,苏绍彰,后端,2025-07-18,已关闭,2025-07-20,通过,AOP @Around 捕获return+throwing 两种情况都记录,审计-操作日志
BUG-EMS-0057,EMS-V2.0,报名缴费,支付,支付宝异步回调 也和微信同样签名验签 但签名算法RSA2 支付宝公钥配置了测试公钥 生产回调不通过,一般,配置,SIT 切换生产公钥前,1.生产环境 支付宝支付回调 2.验签,1.每次验签失败 订单不更新 一直待支付,1.每个环境 支付宝公钥/私钥 放在环境配置中心 不在代码写死,是,苏绍彰,运维+后端,2025-07-22,已关闭,2025-07-24,通过,Nacos配置中心各环境独立密钥 启动时healthcheck校验配置正确性,支付宝支付
BUG-EMS-0058,EMS-V2.0,小程序,课表,小程序 学员 课程请假后 课表页面仍然显示已排课 状态不是"已请假" 老师看不到请假记录,一般,数据,SIT,课程 请假 审核通过后,1.学员、老师端 查课表 当天,1.学员端课表 仍然显示已排课 没有请假标识 老师也不知道,1.两端都要刷新为"请假" 老师考勤自动跳过该学员,是,苏绍彰,两端开发,2025-07-25,已关闭,2025-07-28,通过,请假审核通过后发送MQ 两节课表缓存做失效,CQRS一致性
BUG-EMS-0059,EMS-V2.0,学员管理,导入,导入Excel 中 手机号 是科学计数法 1.38001E+10 被当成字符串 入库失败,一般,导入,SIT Excel中长数字,Excel中手机号列没有设为文本,1.导入,1.手机=1.38001E+10 入库失败 报格式错误,1.解析时 处理BigDecimal.toPlainString() 并转11位数字,是,苏绍彰,后端,2025-07-28,已关闭,2025-07-30,通过,EasyExcel Converter 自定义数字转字符串,学员导入
BUG-EMS-0060,EMS-V2.0,财务,关账,7月关账后 依然可以录入 7月 财务开始日期的 退费单 造成7月已结账数据变动,严重,合规,SIT,6月结账后 今天7月,1.退费 日期 选 6月20日 保存,1.保存成功 2.7月重算6月报表 数字变了 和已结账凭证不符,1.6月已关账 任何涉及6月财务日期单据 一律拒绝 或记到当前月（7月）做"追溯调整"备注,是,苏绍彰,后端-财务,2025-07-29,已关闭,2025-08-01,通过,关账表period_status=CLOSED 拦截所有会计期间<当前的单据保存,ZW-EMS-M04-0068
BUG-EMS-0061,EMS-V2.0,系统设置,字典,字典缓存 修改字典后 Redis缓存未失效 前端显示旧值 要等到第2天,一般,缓存,SIT,修改来源地推→地推营销,1.保存字典 2.登录查看学员来源,1.还是显示老的 地推 直到重启或TTL过期,1.字典修改后主动 删除 Redis 相关缓存 key,是,苏绍彰,后端,2025-07-30,已关闭,2025-08-01,通过,@CacheEvict(allEntries=true) 注解在字典保存更新方法,字典缓存
BUG-EMS-0062,EMS-V2.0,报名缴费,催缴,手动催缴按钮 无限点 同一订单 连续发 模板消息 家长1小时内收到12条 投诉,一般,限流,SIT,销售快速点20次,订单详情 催缴按钮,1.快速点击20次,1.家长端 20条一模一样催缴微信消息,1.同订单 催缴 限流 1小时1次 + 按钮loading前端防抖,是,苏绍彰,后端+前端,2025-07-31,已关闭,2025-08-02,通过,Redis rateLimit key=enroll_remind:{orderId} ttl=3600s,ZW-EMS-M04-0092
BUG-EMS-0063,EMS-V2.0,权限,Token,refresh token 可以无限次 反复刷新 一直不过期 违反JWT安全规范,一般,安全,SIT,拿到refresh token,1.持续每天 刷新一次 refresh token 一直能用,1.30天后 refresh token 仍然有效 用户离职后 token 永不过期风险,1.refresh token 最长有效期 7天 且 每次刷新 旧refresh失效 只换新的一次,是,苏绍彰,后端-安全,2025-08-01,已关闭,2025-08-04,通过,refresh token存Redis 过期7天 刷新时 DEL 旧 SET 新,双Token机制
BUG-EMS-0064,EMS-V2.0,学员管理,跟进,跟进记录 删除按钮 没权限的销售也能 看到 删除别人的按钮 点一下提示无权限,轻微,体验,SIT,销售02 看销售01的跟进,1.销售02登录 看别人写的跟进记录,1.每条跟进 右边都有 删除按钮 图标 2.点删除 才提示无权限,1.没权限 就不显示删除按钮 隐藏,是,苏绍彰,前端,2025-08-02,已关闭,2025-08-04,通过,v-if= record.createBy==currentUser or hasRole('admin'),跟进-删除按钮权限
BUG-EMS-0065,EMS-V2.0,报名缴费,支付,余额支付 余额刚好等于 订单金额0.01 差 会有0.01无法支付 提示余额不足,轻微,精度,SIT,余额=1800.00 订单=1800.00 浮点,1.订单 余额支付,1.提示余额不足 看余额1800订单1800,1.金额比较 BigDecimal compareTo 差额在±0.005内算相等,是,苏绍彰,后端,2025-08-03,已关闭,2025-08-05,通过,余额计算全部BigDecimal ROUND_HALF_UP 2位,ZW-EMS-M04-0104
BUG-EMS-0066,EMS-V2.0,小程序,登录,同一手机号 换绑了另一个微信号 openid 新号登录后 还是看到旧openid绑定的学员 解绑未清理缓存,一般,数据,SIT,同一手机,1.旧微信绑定手机 2.解绑 3.新微信绑定同手机,1.登录,1.看到旧openid绑定的非当前子女,1.绑定成功 清理缓存 强制按新openid+手机查询,偶发,苏绍彰,小程序,2025-08-04,待验证,2025-08-06,通过,openid和手机号 绑定关系1:N 清除旧缓存,微信绑定
BUG-EMS-0067,EMS-V2.0,学员管理,合并,合并重复学员 2个重复学员 各自有10条跟进记录 合并后 跟进记录 createBy 都被改成了 操作人 不是原跟进人,一般,数据一致性,SIT,销售01 10条 销售02 10条,1.管理员 合并 学员A和B,1.合并后 20条跟进记录 createBy全部=当前管理员,1.合并后每条操作的 createBy、createTime 都保留原作者 不做修改,是,苏绍彰,后端,2025-08-05,已关闭,2025-08-07,通过,SQL合并时 INSERT ... SELECT 保留原createBy,ZW-EMS-M02-0097
BUG-EMS-0068,EMS-V2.0,报表,课酬,教师课酬 班级跨月结转 月末未上完的整期课 预提课酬算法 四舍五入 导致和实际实发 0.03元差异,轻微,财务,SIT 跨月班级,班级 6月28 29 30 7月2 3 共5课时,1.6月课酬 计算 预提3/5,1.6月报表 +7月报表 合计实发 和总课酬 差 0.03元,1.最后一期发放时 尾差调整 计入最后一月,是,苏绍彰,财务,2025-08-06,已关闭,2025-08-08,通过,最后一次=总应发-历史已计提,课酬
BUG-EMS-0069,EMS-V2.0,权限,菜单,账号设置了 仅琅东校区 顶部的切换校区下拉框 还显示了 全部 5个校区 选中后 虽然查不出数据 但UI误导,轻微,体验,SIT,琅东校长账号,1.顶部校区下拉,1.显示5个校区 2.选东葛后 数据全空,1.仅显示 有权限的校区 或 全部（仅看自己的）,是,苏绍彰,前端,2025-08-07,已关闭,2025-08-09,通过,computed filterCampusOptions 根据user.campusIds过滤,顶部切换
BUG-EMS-0070,EMS-V2.0,性能,数据库,500并发下 MySQL出现 大量LOCK_WAIT_TIMEOUT 超30s 最后回滚（报名接口扣减班级名额）,严重,性能,PERF JMeter,报名500并发 10分钟持续,1.压测 2.看show engine innodb status,1.行锁等待时间=50s 2.很多请求回滚 3.错误率飙升到8%,1.班级名额 用 Redis 原子扣减 预扣后 异步落库 DB只记账,是,苏绍彰,架构+DBA,2025-07-25,已关闭,2025-08-01,通过,热点扣减 全量Redis DECR 最终一致异步同步DB,DB锁优化
BUG-EMS-0071,EMS-V2.0,权限登录,验证码,图形验证码 图片可以被识别脚本 Tesseract OCR 100% 识别,一般,安全,SIT OCR测试,图形验证码,1.保存100张 2.用Tesseract识别 3.对比结果,1.96/100 正确识别,1.改成滑动拼图点选 验证码 + 点击次数+坐标加密 提高OCR难度,是,苏绍彰,安全,2025-07-20,已关闭,2025-07-24,通过,AJ-Captcha 行为验证码,登录
BUG-EMS-0072,EMS-V2.0,报名缴费,支付,支付成功 微信模板消息 通知家长 发送时 订单金额显示 是 分 不是元 显示 ¥180000 实际1800元,一般,体验,SIT 订单1800元,家长缴费微信支付 成功,1.家长收到模板消息 2.看金额字段,1.显示 ¥180000.00 吓家长一跳,1.微信回调时 totalFee是分 模板消息必须 ÷100 转元再格式化,是,苏绍彰,后端-消息,2025-07-18,已关闭,2025-07-19,通过,模板消息 金额统一 MoneyFormat fen2yuan,模板消息
BUG-EMS-0073,EMS-V2.0,小程序,支付,小程序 支付完成 点取消 不支付 返回订单详情 订单状态 一会显示 已支付 一会显示 未支付 缓存脏读,轻微,体验,SIT 弱网,小程序点支付 取消 再打开订单,1.反复 3次 2.看订单状态,1.状态在 已支付 待支付 反复横跳,1.订单详情 禁止浏览器/小程序缓存 Cache-Control: no-cache,是,苏绍彰,小程序+后端,2025-07-30,已关闭,2025-08-01,通过,HTTP响应头加 Cache-Control: no-store + 小程序请求header禁止缓存,小程序订单详情
BUG-EMS-0074,EMS-V2.0,智能排课,教室,排课 教室 容量 50人 班级 30人 + 另一班级 30人 共60人 也排进同一个教室了 容量限制没校验,一般,约束,SIT,教室A容量=50,1.自动排课 同时有2个班 30人 排到同一教室同一时段,1.排进去了,1.教室按容量 过滤 不允许>容量,是,苏绍彰,后端-排课,2025-07-22,已关闭,2025-07-25,通过,排课规则 加上 教室容量 维度校验,智能排课-教室
BUG-EMS-0075,EMS-V2.0,学员管理,跟进,批量设置下次跟进提醒 提醒时间 传了空值 全部变成了 1970-01-01 08:00 每天早上8点 疯狂发系统消息 9000条,严重,告警,SIT,批量设置500条 时间输入没填,1.批量-设置跟进提醒 时间不填 点确定,1.500条 提醒时间=null 被转成了 时间戳0=1970 2.定时任务 每分钟都判定 过期了要发 循环发 3小时发了9000+消息给销售,1.提醒时间空值 不创建定时任务 并提示必填 2.发送消息前再判一次 remindTime>now 并加每日最多N条限流,是（批量触发）,苏绍彰,后端+消息,2025-07-17,已关闭,2025-07-20,通过,提醒保存前 非空校验 remindTime 必须>now+5min,跟进-提醒
BUG-EMS-0076,EMS-V2.0,报名缴费,支付,微信支付-对账时 发现 订单已成功 但商户号 收到钱 比 订单金额少 1分钱 因为 微信支付规则 四舍五入 但系统存的 精确到分 导致对账不平,轻微,财务对账,SIT 金额 10.005 元 分进位,订单实付 10.005 ×100=1000.5厘,1.微信实际收1001厘=10.01元 系统记10元 对不上,1.订单金额在下单时 按央行规则 保留 2位小数 四舍五入到分 禁止出现3位小数,是,苏绍彰,后端-财务,2025-07-27,已关闭,2025-07-29,通过,金额类型强制 DECIMAL(12,2) + 业务层 RoundingMode.HALF_UP,金额精度
BUG-EMS-0077,EMS-V2.0,学员管理,标签,批量打标签 10条 重复打 同一个【高意向】标签 学员标签关联表 出现重复10行 列表标签显示 10个高意向,一般,数据,SIT 10条 都打高意向,1.批量-打标签 高意向 2.再做一次 同样操作,1.标签关联表 出现20条 重复数据,1.INSERT IGNORE 或 UNIQUE KEY(student_id, tag_id) 防重复,是,苏绍彰,后端,2025-07-08,已关闭,2025-07-10,通过,DB 唯一索引 + Mybatis insertOrUpdate,标签-批量
BUG-EMS-0078,EMS-V2.0,报名缴费,订单,小程序-家长 代另一个子女报名 createBy 还是 第一个孩子的家长id 导致 财务 销售归属错误,一般,数据,SIT 家长名下2个学员 A B,1.家长给A报名 2.马上给B报名,1.订单B的 归属销售 是A原来跟进的销售 不是B真实跟进人,2.报表错乱,1.报名提交时 明确传 studentId → 查找学员归属销售 而不是取缓存的上次的销售,是,苏绍彰,后端,2025-07-12,已关闭,2025-07-14,通过,提交报名前 强制 查一次student.followUserId 作为createBy/归属销售,多学员家长
BUG-EMS-0079,EMS-V2.0,小程序,成长档案,学员成长档案 分享的公开链接 任何人不登录 都可以看到 学员姓名 头像 家长手机号 生日 学校等敏感信息,严重,隐私,SIT 分享链接,分享的档案链接,1.任何人 复制链接 浏览器匿名模式打开,1.全部信息 2.家长隐私泄露,1.分享链接 24h 过期 + 必须 微信授权后才能看（即使分享也要同账号体系）,是,苏绍彰,小程序,2025-07-29,已关闭,2025-08-02,通过,链接带随机签名 + 过期时间 查看必须授权 记录查看人openid,档案-分享
BUG-EMS-0080,EMS-V2.0,财务,月结,月结后 生成的月结报表 和 手工 Excel 核对 发现 教师课酬 小数 尾差 每月累计 3个月累计 达到 0.54元 财务月结单 不平,轻微,财务精度,SIT 3个月数据,3个月后 总账 0.54元差,1.课酬明细表合计 2.总账合计,1.借贷不平 0.54元,1.每条教师课酬凭证 做 尾差 汇总 在月结时 一次性 调平到 管理费用-其他,是,苏绍彰,财务,2025-08-03,已关闭,2025-08-07,通过,存储过程 每月末 执行调平 差异<1元 自动调平,财务精度
BUG-EMS-0081,EMS-V2.0,学员管理,筛选,学员列表 高级筛选 自定义字段组合 选了 剩余课时<5 没填数字 提交 变成 课时<所有（返回了全部）,轻微,体验,SIT Chrome,学员列表,1.打开高级筛选 2.条件=剩余课时< 值空着 3.确定,1.返回了全部学员,1.条件为空的 视为用户未填 该条件不参与查询 提示：请填写剩余课时数值,是,苏绍彰,前端,2025-07-23,已关闭,2025-07-25,通过,JS 组装查询条件前 判空 filter.value!=null&&value!=='',高级筛选
BUG-EMS-0082,EMS-V2.0,权限,数据权限,数据权限 SQL AOP 切面 执行顺序晚于 PageHelper分页 导致总数total对 但records为空,一般,功能缺陷,SIT,数据权限角色 分页查询,1.校长登录 第一页有数据 第二页查 2.看返回JSON,1.total=3000 正确 records=[] 空列表,1.AOP切面 order=Ordered.HIGHEST_PRECEDENCE 在分页前注入数据权限SQL,是,苏绍彰,后端,2025-07-15,已关闭,2025-07-17,通过,MybatisPlus Interceptor 顺序 先 DataScope 再 Pagination,分页AOP
BUG-EMS-0083,EMS-V2.0,教师H5,课表,教师课表H5 早上9点到10点 两节课 09:00-10:30 超长 跨了两个课时格 UI 显示 重叠了 文字看不清,轻微,UI,SIT Safari iOS 16,课表 长1.5小时的课,1.老师查看课表,1.该课块和下一节课 叠在一起,1.按实际分钟 动态计算 grid-row-start / end span,是,苏绍彰,前端H5,2025-07-16,已关闭,2025-07-19,通过,课表组件重写 改为 分钟粒度绝对定位,教师H5课表
BUG-EMS-0084,EMS-V2.0,智能排课,AI,AI自动排课 有 教室设备要求 物理实验室=物理课 被忽略 把化学课排到了 物理实验室,一般,规则,SIT 教室标签,教室A 标签=物理实验 化学课 标签=化学实验,1.AI自动排课 2.查看结果,1.化学课排进了物理实验室,1.AI排课 适应度函数 加入 教室设备 加权惩罚 1000分,是,苏绍彰,算法,2025-07-19,已关闭,2025-07-23,通过,适应度函数 新增 rules 第6条 设备兼容性,AI排课
BUG-EMS-0085,EMS-V2.0,系统,公告,系统公告 顶部跑马灯 发布后 所有用户都可以 关闭按钮关掉 但下次登录 又显示 永远关闭不了,一般,体验,SIT Chrome,发布了重要通知,1.关掉通知 2.刷新/重登,1.通知再次出现,1.提供 7天内不再显示 勾选框 localStorage 记录 关闭时间,是,苏绍彰,前端,2025-08-01,已关闭,2025-08-03,通过,localStorage 存 dismissed_notice_{id}:timestamp,公告
BUG-EMS-0086,EMS-V2.0,权限,操作日志,操作日志 清空功能 管理员也能一键清空 清空后 没有任何 操作痕迹 审计风险,严重,合规,SIT 管理员账号,系统-审计日志,1.点【清空日志】 2.确认 3.日志列表空了 4.数据库也没了,1.审计日志被清空 不留下痕 违反等保2.0 至少保存6个月,1.审计日志 只能查询 不能修改 不能删除 物理归档到冷存储 2年,是,苏绍彰,安全+DBA,2025-08-02,已关闭,2025-08-05,通过,REVOKE DELETE,UPDATE ON sys_log FROM 'all'  仅INSERT,审计日志合规
BUG-EMS-0087,EMS-V2.0,报名缴费,发票,发票冲红后 订单的发票状态 还是"已开票" 家长还能再申请 电子发票重复开,一般,合规,SIT,订单已开票 然后冲红,1.财务后台冲红发票 2.家长小程序 申请开票,1.家长还能再申请 且显示发票状态已开票 可以下载旧的（无效）,1.冲红后 订单状态=已冲红 家长端 显示【重新申请开票】 原发票链接失效,是,苏绍彰,财务,2025-07-24,已关闭,2025-07-28,通过,发票状态枚举 INVOICED→RED_FLUSHED 状态流转,发票冲红
BUG-EMS-0088,EMS-V2.0,权限登录,SSO,等保要求 密码90天过期 强制修改 修改后 所有端 都要强制重新登录,一般,等保合规,SIT,管理员密码设置 100天前,1.登录 2.跳修改密码 3.改完,1.手机端、小程序、PC 登录状态都失效 要重新登录,1.修改成功后 清空该用户 所有Redis token 重新登录,是,苏绍彰,后端-安全,2025-08-03,已关闭,2025-08-06,通过,Redis keys user_tokens:{userId} 删除所有 关联该用户的,密码过期
BUG-EMS-0089,EMS-V2.0,报名缴费,优惠,团购3人团 2人支付成功1人超时 团解散 已付的2人 退款到账晚了3天 没及时通知 客户投诉,一般,体验,SIT 团购3人,3人团 2人付 1人48h未付,1.48h后 系统解散团 2.查退款 3.查消息,1.已退款 但2人 没有收到任何微信/短信通知,1.团购解散时 必须同时 发起退款 并 发 退款到账通知 + 原因说明,是,苏绍彰,消息组,2025-08-05,已关闭,2025-08-07,通过,团超时解散 Job → 退款MQ → 通知MQ 事务消息,团购解散
BUG-EMS-0090,EMS-V2.0,学员管理,批量,批量导入 失败记录 下载的Excel 第5列 中文原因 被Windows Excel打开 乱码 显示为 缂佸埄 濞变箰,轻微,编码,SIT Excel2016,导入失败20条 下载失败明细.xlsx,1.下载 2.直接双击 Excel打开,1.中文全部 乱码,1.下载文件编码 UTF-8 BOM（\uFEFF前缀）或者 用xlsx格式 非csv,是,苏绍彰,后端,2025-07-06,已关闭,2025-07-09,通过,EasyExcel 写回 xlsx 格式 非csv 加BOM,导入明细导出
BUG-EMS-0091,EMS-V2.0,报名缴费,订单,订单导出 CSV 订单号=18位 数字 用Excel打开 变成科学计数法 后3位变000 数据丢失,严重,体验/SQL,SIT Excel,订单号 ZW...（长数字字符串）,1.订单导出CSV 2.Excel打开,1.订单号=2.02E+17 后3位000 真实订单号丢失,1.导出CSV 在订单号单元格 前加 制表符 "\t" 或 设置单元格格式=文本,是,苏绍彰,后端,2025-07-09,已关闭,2025-07-11,通过,EasyExcel 长数字字段 加入 WriteHandler 设置为TEXT,订单导出
BUG-EMS-0092,EMS-V2.0,财务,凭证,自动生成凭证 摘要过长（>80字） 财务系统 对接 凭证 抛错 导致 每日凭证 失败 财务手工重做,轻微,接口,SIT 摘要85字,1.报名 生成凭证 2.抛给金蝶,1.金蝶接口报错 摘要超长 凭证失败,1.凭证摘要 自动截断 80字 末尾加...,凭证对接,是,苏绍彰,财务接口,2025-08-06,已关闭,2025-08-08,通过,StringUtils.abbreviate(summary, 80),金蝶凭证对接
BUG-EMS-0093,EMS-V2.0,性能,全链路,压测时 发现 短信验证码 接口TPS=12就到顶了 因为第三方短信渠道 限速 1条/秒 100并发全报错,一般,依赖,SIT PERF 压测,100并发 发验证码,1.第13条 全失败 第三方返回 频率超限,1.系统层 加入 验证码限流 匹配第三方QPS 错峰排队 或 测试环境 走 验证码Mock返回,是,苏绍彰,运维,2025-07-12,已关闭,2025-07-15,通过,Profile:test MockSmsSender 直接返回成功 不真实发,短信第三方
BUG-EMS-0094,EMS-V2.0,权限登录,日志,登录失败日志 只有 失败用户名 没有 输入密码前3后2 位数 无法判断 是否撞库 攻击,一般,安全审计,SIT 多次失败登录,1.看登录失败日志,1.只有用户名 无密码特征,1.保存 密码 前3后2 中间*** 如 "123***78" 用于 撞库模式识别（密码都是同一个）,是,苏绍彰,安全,2025-07-28,已关闭,2025-07-30,通过,失败日志 脱敏记录 passwordHint=前3后2,登录审计
BUG-EMS-0095,EMS-V2.0,小程序,家长,家长投诉 每天 20:00 整 会收到 催缴提醒 但 自己已经缴了费了 订单状态=已缴费,一般,体验,SIT 定时任务,家长 已缴费 课时充足,1.20:00 定时任务 跑 催缴 2.看 微信消息,1.收到了 催缴消息,1.催缴任务 查询条件 要 加入 status!=已缴费  AND 余额<10 课时,是,苏绍彰,后端-Job,2025-08-01,已关闭,2025-08-03,通过,SQL查询 WHERE status='待支付' OR remain_hours<10,催缴定时
BUG-EMS-0096,EMS-V2.0,报名缴费,退费,退费审核通过后 微信退款 因为 商户 微信 退款 余额不足 失败 但系统订单 状态变成了"已退款" 家长没收到钱 钱也没退回,严重,资金,SIT 微信商户余额 0元 但退款1800元,1.财务审核通过 2.系统调微信退款 3.微信返回 余额不足 失败,1.系统订单状态=已退款 2.财务没收到失败通知 也没做处理,1.微信返回 失败 订单状态=退款失败 并 发 钉钉告警 财务群 跟进 3次重试失败后 人工介入,是,苏绍彰,后端+财务,2025-07-31,已关闭,2025-08-04,通过,退款状态机：REFUND_PROCESSING→REFUND_FAILED 重试3次+告警,退款-资金
BUG-EMS-0096a,EMS-V2.0,报名缴费,支付,组合支付 同时调用 微信+余额 扣款 微信成功 但余额数据库 死锁 回滚 造成 微信扣了 余额没扣 用户少付了钱,严重,资金,SIT 模拟余额DB锁超时,组合支付 微信1000+余额800,1.提交支付 2.模拟余额扣减时DB超时,1.微信扣了1000 余额 回滚 没扣800 订单变成已支付 实际公司少收800,1.分布式事务 TCC 或 本地消息表：余额扣减失败 自动撤销 微信退款 保证 最终一致,是,苏绍彰,后端,2025-07-14,已关闭,2025-07-20,通过,Seata AT模式 组合支付 两阶段提交 + 对账兜底,分布式事务 ZW-EMS-M04-0012
